_id,title,addr1,areacode,sigungucode,eventstartdate,eventenddate,contentid,mapx,mapy,firstimage,__v
6761863cc9dbb8b7b0a9cd54,크리스마스 빌리지 부산,부산광역시 영도구 봉래나루로 214 (봉래동2가),6,14,20241213,20241229,3437916,129.0447307760,35.0964181190,http://tong.visitkorea.or.kr/cms/resource/84/3437884_image2_1.png,0
6761863cc9dbb8b7b0a9cd57,온천천 빛 축제,부산광역시 동래구 중앙대로 1324 (온천동),6,6,20241220,20250202,3434800,129.0785081817,35.2056537329,http://tong.visitkorea.or.kr/cms/resource/94/3434794_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd5a,게임 체험 팝업전시 ‘Dive the Game-vers’,부산광역시 해운대구 해운대로 621 (우동),6,16,20241127,20241222,3422647,129.1587106860,35.1638460114,http://tong.visitkorea.or.kr/cms/resource/16/3422616_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd5d,PLAY WALK 호스아일랜드,부산광역시 강서구 가락대로 929 (범방동),6,1,20241110,20241117,3400440,128.8819461313,35.1548752485,http://tong.visitkorea.or.kr/cms/resource/97/3399797_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd60,뉴키즈 온더 삼락,부산광역시 사상구 삼락동,6,9,20241123,20241124,3394528,128.9717797987,35.1612984007,http://tong.visitkorea.or.kr/cms/resource/44/3404044_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd63,연제오방맛길 빛 축제,"부산광역시 연제구 고분로13번길 25 (연산동, 연산동 쌍용아파트)",6,13,20241025,20250210,3393256,129.0845137227,35.1871559163,http://tong.visitkorea.or.kr/cms/resource/69/3393169_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd66,다대포 선셋 영화 축제,부산광역시 사하구 몰운대1길 14 (다대동),6,55,20241018,20241020,3383748,128.9680471374,35.0463945293,http://tong.visitkorea.or.kr/cms/resource/60/3383460_image2_1.png,0
6761863cc9dbb8b7b0a9cd69,부산환경공단과 함께하는 ‘불편한 음악회’,부산광역시 남구 용호동,6,4,20241011,20241011,3377765,129.1164265191,35.1257383832,http://tong.visitkorea.or.kr/cms/resource/64/3377764_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd6c,부산골목페스티벌 다대 바다누리길,부산광역시 사하구 몰운대1길 55 (다대동),6,55,20241004,20241006,3377085,128.9692331756,35.0452863418,http://tong.visitkorea.or.kr/cms/resource/75/3377075_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd6f,페스티벌 시월,부산광역시 해운대구 APEC로 55 (우동),6,16,20241001,20241008,3370514,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/91/3370491_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd72,부산골목페스티벌 수영 망미골목,부산광역시 수영구 망미번영로 49-1 (망미동),6,12,20240927,20240929,3370245,129.1096508423,35.1719386413,http://tong.visitkorea.or.kr/cms/resource/44/3370244_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd75,부산청년주간,부산광역시 수영구 민락수변로17번길 56 (민락동),6,12,20240921,20240927,3368584,129.1270664784,35.1542603874,http://tong.visitkorea.or.kr/cms/resource/36/3368536_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd78,조선통신사역사관 체험프로그램,부산광역시 동구 자성로 99 (범일동),6,5,20241026,20241027,3367145,129.0621226334,35.1357584814,http://tong.visitkorea.or.kr/cms/resource/20/3367120_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd7b,사회참여예술 컨벤션,부산광역시 동구 중앙대로 380 (좌천동),6,5,20240928,20240929,3362545,129.0494239230,35.1290034480,http://tong.visitkorea.or.kr/cms/resource/96/3362496_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd7e,2024 대한민국 해양 모빌리티･안전 엑스포,부산광역시 해운대구 APEC로 55 (우동),6,16,20240910,20240912,3359994,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/82/3359982_image2_1.png,0
6761863cc9dbb8b7b0a9cd81,구룡마을축제,부산광역시 영도구 중리로 35 (동삼동),6,14,20240928,20240928,3359409,129.0680488034,35.0740516073,http://tong.visitkorea.or.kr/cms/resource/36/3359136_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd84,별바다부산 나이트마켓,부산광역시 북구 생태공원길 270 (화명동),6,8,20240921,20241013,3356047,129.0078550672,35.2397152762,http://tong.visitkorea.or.kr/cms/resource/32/3356032_image2_1.jpeg,0
6761863cc9dbb8b7b0a9cd87,부산골목페스티벌 영도구 봉산마을 마실길,부산광역시 영도구 오동꽃길 32 (봉래동5가),6,14,20240906,20240908,3352061,129.0520469096,35.0926381216,http://tong.visitkorea.or.kr/cms/resource/60/3352060_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd8a,중구 부산항 펀&펑 페스티벌,부산광역시 중구 중앙동4가,6,56,20240901,20240901,3351515,129.0411697555,35.1044532657,http://tong.visitkorea.or.kr/cms/resource/10/3351510_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd8d,부산골목페스티벌 전포공구길,부산광역시 부산진구 전포동,6,7,20240830,20240901,3350342,129.0637579601,35.1592642126,http://tong.visitkorea.or.kr/cms/resource/31/3350831_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd90,부산국제아동도서전,부산광역시 해운대구 APEC로 55 (우동),6,16,20241128,20241201,3345610,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/04/3345604_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd93,두근두근 도라에몽 in Busan 展,부산광역시 영도구 해양로195번길 180 (동삼동),6,14,20240501,20241103,3307842,129.0767532647,35.0864309380,http://tong.visitkorea.or.kr/cms/resource/38/3307838_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd96,세븐비치 어싱 챌린지,부산광역시 해운대구 송정동,6,12,20241109,20241109,3306558,129.1994289560,35.1788395325,http://tong.visitkorea.or.kr/cms/resource/92/3306492_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd99,부산 밀 페스티벌,부산광역시 북구 화명동,6,8,20240622,20240623,3303393,129.0038973083,35.2313411422,http://tong.visitkorea.or.kr/cms/resource/60/3303360_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd9c,마하위크,부산광역시 연제구 봉수로 138 (연산동),6,13,20240501,20240615,3303298,129.0875946484,35.1638724697,http://tong.visitkorea.or.kr/cms/resource/84/3303284_image2_1.jpg,0
6761863cc9dbb8b7b0a9cd9f,금정산생명문화축전,부산광역시 금정구 북문로 124-1 (금성동),6,2,20240514,20240528,3301068,129.0561443232,35.2754232752,http://tong.visitkorea.or.kr/cms/resource/55/3301055_image2_1.jpg,0
6761863cc9dbb8b7b0a9cda2,세계라면축제,부산광역시 북구 생태공원길 125 (화명동),6,8,20250404,20250413,3300050,129.0045668215,35.2267027855,http://tong.visitkorea.or.kr/cms/resource/91/3413791_image2_1.jpg,0
6761863cc9dbb8b7b0a9cda5,도파밍덕후: 유쾌한 구원자,부산광역시 중구 광복중앙로 13 (신창동1가),6,56,20240504,20240505,3115722,129.0310040798,35.1005479603,http://tong.visitkorea.or.kr/cms/resource/17/3115717_image2_1.jpg,0
6761863cc9dbb8b7b0a9cda8,2024 컬러레이스,부산광역시 강서구 가락대로 929 (범방동),6,1,20240525,20240525,3114675,128.8819461313,35.1548752485,http://tong.visitkorea.or.kr/cms/resource/74/3114674_image2_1.png,0
6761863cc9dbb8b7b0a9cdab,매직 미디어쇼 폴리팝(두들팝ver.2),부산광역시 기장군 기장읍 동부산관광로 42,6,3,20231202,20241231,3113739,129.2129995240,35.1960684107,http://tong.visitkorea.or.kr/cms/resource/30/3113730_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdae,제27회 IAVE 부산세계자원봉사대회,부산광역시 동구 충장대로 206 (초량동),6,5,20241022,20241025,3110030,129.0491742511,35.1177852539,http://tong.visitkorea.or.kr/cms/resource/18/3110018_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdb1,2024 스카마켓 in 부산(2024 스카마켓 인 부산) SCA Market 2024 in Busan,부산광역시 해운대구 APEC로 55 (우동),6,16,20240201,20240204,3082214,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/01/3082201_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdb4,해운대 카운트다운&해맞이 축제,부산광역시 해운대구 우동,6,16,20231231,20240101,3072196,129.1603329083,35.1587105054,http://tong.visitkorea.or.kr/cms/resource/94/3072194_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdb7,2023영호남전통시장박람회,부산광역시 해운대구 수영강변대로 120 (우동),6,16,20231117,20231119,3045149,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/48/3045148_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdba,부산평화통일박람회,부산광역시 중구 용미길9번길 6-45 (남포동1가),6,56,20231027,20231027,3023315,129.0359065412,35.0964901712,http://tong.visitkorea.or.kr/cms/resource/66/3023266_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdbd,비욘드 한글&K-컬쳐 국제 페스티벌,부산광역시 해운대구 APEC로 30 (우동),6,16,20241006,20241008,3021754,129.1349765853,35.1658036857,http://tong.visitkorea.or.kr/cms/resource/93/3370193_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdc0,2024 K-뮤직 시즌 ‘굿밤 콘서트 in 부산’,부산광역시 해운대구 해운대해변로 226 (우동),6,16,20241003,20241005,3021170,129.1559805378,35.1576799843,http://tong.visitkorea.or.kr/cms/resource/45/3358845_image2_1.png,0
6761863cc9dbb8b7b0a9cdc3,글로컬 문화 in 남산 페스티벌,부산광역시 금정구 남산로 27 (남산동),6,2,20241026,20241026,3020552,129.0893638877,35.2668415191,http://tong.visitkorea.or.kr/cms/resource/71/3386771_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdc6,전포커피축제,부산광역시 부산진구 동천로 92 (전포동),6,7,20241012,20241013,3018117,129.0630414153,35.1570727780,http://tong.visitkorea.or.kr/cms/resource/81/3368781_image2_1.png,0
6761863cc9dbb8b7b0a9cdc9,서면 빛 축제,부산광역시 부산진구 부전동,6,7,20241002,20250110,3018043,129.0571225564,35.1544785148,http://tong.visitkorea.or.kr/cms/resource/44/3403444_image2_1.jpeg,0
6761863cc9dbb8b7b0a9cdcc,부산민속예술제,부산광역시 부산진구 시민공원로 73 (범전동),6,7,20241026,20241027,3016659,129.0572361352,35.1654495102,http://tong.visitkorea.or.kr/cms/resource/47/3359047_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdcf,UN평화축제,부산광역시 남구 대연동,6,4,20241019,20241020,3015176,129.1004223336,35.1265185560,http://tong.visitkorea.or.kr/cms/resource/33/3381633_image2_1.JPG,0
6761863cc9dbb8b7b0a9cdd2,2023 부산 정원박람회,부산광역시 사하구 다대동,6,55,20231026,20231029,3013881,128.9671277665,35.0466389299,http://tong.visitkorea.or.kr/cms/resource/78/3013878_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdd5,부산수제맥주페스티벌,부산광역시 해운대구 APEC로 55 (우동),6,16,20240703,20240707,3012104,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/49/3307949_image2_1.JPG,0
6761863cc9dbb8b7b0a9cdd8,정관생태하천학습문화축제,부산광역시 기장군 정관읍 구연3로 27,6,3,20241018,20241020,3007256,129.1819237392,35.3222286938,http://tong.visitkorea.or.kr/cms/resource/83/3347683_image2_1.png,0
6761863cc9dbb8b7b0a9cddb,부산국제공연예술마켓,부산광역시 남구 유엔평화로76번길 1 (대연동),6,4,20241004,20241008,3006246,129.0937450823,35.1285070990,http://tong.visitkorea.or.kr/cms/resource/28/3405728_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdde,유라리 건맥축제,부산광역시 중구 용미길9번길 6-45 (남포동1가),6,56,20240823,20240824,3001170,129.0359065412,35.0964901712,http://tong.visitkorea.or.kr/cms/resource/84/3343784_image2_1.jpg,0
6761863cc9dbb8b7b0a9cde1,제20회 현인가요제,부산광역시 서구 송도해변로 50 (암남동),6,11,20240803,20240804,2996045,129.0164477390,35.0738451248,http://tong.visitkorea.or.kr/cms/resource/49/3335349_image2_1.jpg,0
6761863cc9dbb8b7b0a9cde4,렛츠런파크 부산경남 블루밍 워터페스티벌,부산광역시 강서구 가락대로 929 부산경남경마공원,6,1,20240706,20240825,2993283,128.8784964093,35.1557223124,http://tong.visitkorea.or.kr/cms/resource/80/3311580_image2_1.jpg,0
6761863cc9dbb8b7b0a9cde7,2024 부산나이트워크42K With dsec,부산광역시 해운대구 수영강변대로 85 (우동),6,16,20240831,20240901,2991394,129.1273438565,35.1679477491,http://tong.visitkorea.or.kr/cms/resource/65/3304365_image2_1.png,0
6761863cc9dbb8b7b0a9cdea,2024 APP WORLD TOUR BUSAN SUP OPEN,부산광역시 수영구 광안동,6,12,20241005,20241006,2966405,129.1187283403,35.1533381142,http://tong.visitkorea.or.kr/cms/resource/04/3380004_image2_1.jpg,0
6761863cc9dbb8b7b0a9cded,2024 제51회 부산 어린이날 큰잔치,부산광역시 해운대구 수영강변대로 120 (우동),6,16,20240505,20240505,2966295,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/74/3114474_image2_1.png,0
6761863cc9dbb8b7b0a9cdf0,용골 댄스 페스타,부산광역시 중구 용두산길 37-55 (광복동2가),6,56,20240616,20240616,2952109,129.0324761622,35.1009618294,http://tong.visitkorea.or.kr/cms/resource/81/3301181_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdf3,부산스텝업댄스페스티벌,부산광역시 해운대구 수영강변대로 120 (우동),6,16,20240704,20240707,2950857,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/76/3330176_image2_1.png,0
6761863cc9dbb8b7b0a9cdf6,부산글로벌웹툰페스티벌,부산광역시 해운대구 수영강변대로 140 (우동),6,16,20241003,20241006,2873292,129.1256077644,35.1727527343,http://tong.visitkorea.or.kr/cms/resource/18/3367918_image2_1.JPG,0
6761863cc9dbb8b7b0a9cdf9,한-아세안 대화관계 수립 35주년 기념 아세안 요리교실,부산광역시 해운대구 좌동로 162 (좌동),6,16,20240517,20240720,2866409,129.1820750100,35.1751757315,http://tong.visitkorea.or.kr/cms/resource/04/3116104_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdfc,별바다부산 나이트페스타,부산광역시 사하구 다대동,6,55,20240701,20241031,2864020,128.9669000147,35.0464139505,http://tong.visitkorea.or.kr/cms/resource/47/3336747_image2_1.jpg,0
6761863cc9dbb8b7b0a9cdff,기장 붕장어 축제 with 해산물,부산광역시 기장군 기장읍 연화1길 204,6,3,20241005,20241006,2860868,129.2276142815,35.2191799840,http://tong.visitkorea.or.kr/cms/resource/29/3378429_image2_1.png,0
6761863cc9dbb8b7b0a9ce02,부산수제맥주마스터스챌린지,부산광역시 해운대구 APEC로 55 (우동),6,16,20241005,20241006,2856938,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/41/3355141_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce05,허심청브로이 옥토버페스트,부산광역시 동래구 금강공원로20번길 23 호텔농심,6,6,20241010,20241012,2855626,129.0826296532,35.2199410969,http://tong.visitkorea.or.kr/cms/resource/02/3352102_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce08,글로벌 영도커피페스티벌,부산광역시 영도구 해양로301번길 55,6,14,20240524,20240526,2841074,129.0819836173,35.0772042891,http://tong.visitkorea.or.kr/cms/resource/97/2846997_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce0b,2024 부산여행영화제,부산광역시 해운대구 수영강변대로 120 영화의전당,6,16,20240726,20240727,2830695,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/85/3333685_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce0e,부산가족축제,부산광역시 동래구 차밭골로 38-1 (온천동),6,6,20240518,20240518,2818494,129.0779995684,35.2174829532,http://tong.visitkorea.or.kr/cms/resource/93/3114793_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce11,ART BUSAN,부산광역시 해운대구 APEC로 55 벡스코,6,16,20240510,20240512,2815176,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/83/3115683_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce14,카운트다운 부산,부산광역시 수영구 광안해변로 219 (광안동),6,12,20241231,20250101,2702333,129.1185477876,35.1538130576,http://tong.visitkorea.or.kr/cms/resource/67/3428367_image2_1.png,0
6761863cc9dbb8b7b0a9ce17,부산세계시민축제,부산광역시 해운대구 수영강변대로 120 영화의전당,6,16,20240518,20240518,2757747,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/16/3115216_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce1a,부산과학축전,부산광역시 해운대구 APEC로 55 벡스코,6,16,20240413,20240414,2740921,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/53/3108253_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce1d,부산인디커넥트페스티벌 2024,부산광역시 해운대구 APEC로 55 벡스코,6,16,20240816,20240818,2736033,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/19/3334419_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce20,부산푸드필름페스타,부산광역시 해운대구 수영강변대로 120 (우동),6,16,20240628,20240630,2719122,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/38/3301838_image2_1.png,0
6761863cc9dbb8b7b0a9ce23,K-일러스트레이션페어 부산 2025,부산광역시 해운대구 APEC로 55,6,16,20250620,20250622,2704473,129.1363402640,35.1691366711,http://tong.visitkorea.or.kr/cms/resource/93/3351293_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce26,2024 한국해사주간(Korea Maritime Week),부산광역시 해운대구 해운대해변로 296 (중동),6,16,20240909,20240912,2679797,129.1639992023,35.1606825749,http://tong.visitkorea.or.kr/cms/resource/17/3335617_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce29,국제해양영화제 (KIOFF),부산광역시 영도구 해양로195번길 180 (동삼동),6,14,20240719,20240721,2661307,129.0767532647,35.0864309380,http://tong.visitkorea.or.kr/cms/resource/78/3321078_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce2c,2024부산국제불교박람회,부산광역시 해운대구 APEC로 55,6,16,20240808,20240811,2644679,129.1363402640,35.1691366711,http://tong.visitkorea.or.kr/cms/resource/32/3333732_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce2f,부산평생학습주간,부산광역시 동구 충장대로 206 (초량동),6,5,20241123,20241124,2624173,129.0491742511,35.1177852539,http://tong.visitkorea.or.kr/cms/resource/36/3396336_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce32,부산가을맥주축제,부산광역시 부산진구 서면문화로 32 (부전동),6,7,20241030,20241102,2600805,129.0562808127,35.1599834385,http://tong.visitkorea.or.kr/cms/resource/31/3432431_image2_1.png,0
6761863cc9dbb8b7b0a9ce35,헬로메이커,부산광역시 기장군 기장읍 동부산관광6로 59,6,3,20240928,20240929,2560161,129.2127048692,35.2046063384,http://tong.visitkorea.or.kr/cms/resource/84/3380084_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce38,부산국제공연예술제,부산광역시 금정구 장전온천천로 48 (장전동),6,2,20240928,20240929,2558735,129.0893371356,35.2296540211,http://tong.visitkorea.or.kr/cms/resource/83/2997883_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce3b,부산스토리텔링축제 [안녕한 사하],부산광역시 연제구 중앙대로 1217 (거제동),6,13,20241101,20241129,2557249,129.0793056029,35.1959020620,http://tong.visitkorea.or.kr/cms/resource/85/3359785_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce3e,K-핸드메이드페어 부산 2025,부산광역시 해운대구 APEC로 30 (우동),6,16,20250620,20250622,2523149,129.1349765853,35.1658036857,http://tong.visitkorea.or.kr/cms/resource/42/3444342_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce41,"영남춤축제 '춤,보고싶다'",부산광역시 부산진구 국악로 2,6,7,20240713,20240810,2503429,129.0542528980,35.1714404510,http://tong.visitkorea.or.kr/cms/resource/60/3332960_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce44,피란수도 부산 문화유산 야행,부산광역시 중구 대청로 112 (대청동1가),6,56,20240816,20240817,2486085,129.0321900270,35.1027616225,http://tong.visitkorea.or.kr/cms/resource/56/3334356_image2_1.png,0
6761863cc9dbb8b7b0a9ce47,라라라 페스티벌,부산광역시 금정구 장전온천천로 48 (장전동),6,2,20241018,20241020,2484237,129.0893371356,35.2296540211,http://tong.visitkorea.or.kr/cms/resource/03/3405703_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce4a,택슐랭,부산광역시 동구 중앙대로 210 (초량동),6,5,20240517,20240526,2438928,129.0408611560,35.1151853926,http://tong.visitkorea.or.kr/cms/resource/67/3116067_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce4d,부산디자인페스티벌,부산광역시 해운대구 APEC로 55,6,16,20241024,20241027,2399209,129.1359569660,35.1690700054,http://tong.visitkorea.or.kr/cms/resource/93/3350193_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce50,부산원아시아페스티벌,부산광역시 연제구 거제동,6,13,20240608,20240609,2390168,129.0583103673,35.1900967692,http://tong.visitkorea.or.kr/cms/resource/65/3108865_image2_1.JPG,0
6761863cc9dbb8b7b0a9ce53,월드오브커피 & 월드바리스타챔피언십 부산,부산광역시 해운대구 APEC로 55 (우동),6,16,20240501,20240504,2387970,129.1355209016,35.1687450332,http://tong.visitkorea.or.kr/cms/resource/45/3104045_image2_1.png,0
6761863cc9dbb8b7b0a9ce56,해운대 빛축제,부산광역시 해운대구 중동,6,16,20241214,20250202,2048902,129.1603606759,35.1590160274,http://tong.visitkorea.or.kr/cms/resource/94/2908794_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce59,차성문화제,부산광역시 기장군 일광읍 체육공원1로 155,6,3,20241012,20241013,2034121,129.2417025556,35.2974325884,http://tong.visitkorea.or.kr/cms/resource/23/2623123_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce5c,사상강변축제,부산광역시 사상구 삼락동,6,9,20241012,20241013,2032436,128.9735266606,35.1689392430,http://tong.visitkorea.or.kr/cms/resource/33/3375033_image2_1.JPG,0
6761863cc9dbb8b7b0a9ce5f,실버문화페스티벌,부산광역시 동구 이순신대로 164 (초량동),6,5,20240927,20240929,2029539,129.0466495614,35.1144578022,http://tong.visitkorea.or.kr/cms/resource/22/2679922_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce62,대한민국 국제해양레저위크,부산광역시 수영구 광안해변로 219 (광안동),6,12,20240816,20240818,2019366,129.1185477876,35.1538130576,http://tong.visitkorea.or.kr/cms/resource/21/2553821_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce65,제20회 부산도시농업박람회,부산광역시 강서구 대저1동,6,1,20240412,20240414,1907888,128.9847274107,35.2074379128,http://tong.visitkorea.or.kr/cms/resource/20/3108920_image2_1.jpg,0
6761863cc9dbb8b7b0a9ce68,부산국제코미디페스티벌,부산광역시 해운대구 수영강변대로 120 영화의전당,6,16,20240823,20240901,1840830,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/89/3330789_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce6b,센텀맥주축제,부산광역시 해운대구 수영강변대로 120 (우동),6,16,20240530,20240609,1816618,129.1270687971,35.1710029572,http://tong.visitkorea.or.kr/cms/resource/93/3300693_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce6e,부산 MICE Festival,부산광역시 해운대구 APEC로 30 (우동),6,16,20231130,20231201,1813386,129.1349765853,35.1658036857,http://tong.visitkorea.or.kr/cms/resource/53/3044253_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce71,수영전통달집놀이,부산광역시 수영구 광안해변로 219 (광안동),6,12,20240224,20240224,1796523,129.1185477876,35.1538130576,http://tong.visitkorea.or.kr/cms/resource/04/3099104_image2_1.JPG,0
6761863dc9dbb8b7b0a9ce74,낙동강 구포나루 축제,부산광역시 북구 낙동강자전거길 1455 (덕천동),6,8,20241011,20241013,1719667,128.9985119927,35.2194312667,http://tong.visitkorea.or.kr/cms/resource/33/3346633_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce77,부산차이나타운 문화축제,부산광역시 동구 중앙대로 206 (초량동),6,5,20241018,20241020,1632340,129.0412194611,35.1150881872,http://tong.visitkorea.or.kr/cms/resource/91/3021091_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce7a,부산연등회,부산광역시 부산진구 동성로112번길 121-1,6,7,20240426,20240512,1553601,129.0669047455,35.1651997173,http://tong.visitkorea.or.kr/cms/resource/21/2811021_image2_1.JPG,0
6761863dc9dbb8b7b0a9ce7d,부산고등어축제,부산광역시 서구 송도해변로 100 (암남동),6,11,20241025,20241027,1399532,129.0180752934,35.0768587065,http://tong.visitkorea.or.kr/cms/resource/22/3403922_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce80,금정산성축제,부산광역시 금정구 산성로 501-2 (금성동),6,2,20240524,20240526,1275743,129.0570561824,35.2453211119,http://tong.visitkorea.or.kr/cms/resource/22/3325922_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce83,정월대보름 달맞이축제,부산광역시 남구 분포로 66-40 (용호동),6,4,20240224,20240224,1202916,129.1201732372,35.1322571676,http://tong.visitkorea.or.kr/cms/resource/98/3108698_image2_1.JPG,0
6761863dc9dbb8b7b0a9ce86,송도달집축제,부산광역시 서구 송도해변로 100 (암남동),6,11,20240224,20240224,1199618,129.0180752934,35.0768587065,http://tong.visitkorea.or.kr/cms/resource/01/3090401_image2_1.png,0
6761863dc9dbb8b7b0a9ce89,영도다리축제,부산광역시 영도구 해양로301번길 55 (동삼동),6,14,20241012,20241013,1080734,129.0819836173,35.0772042891,http://tong.visitkorea.or.kr/cms/resource/14/2738814_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce8c,부산국제매직페스티벌,부산광역시 남구 못골번영로71번길 74 부산예술대학,6,4,20240323,20241215,1032770,129.0849510244,35.1423165015,http://tong.visitkorea.or.kr/cms/resource/76/2989876_image2_1.png,0
6761863dc9dbb8b7b0a9ce8f,부산항축제,부산광역시 동구 충장대로 206 (초량동),6,5,20240601,20240602,1007868,129.0491742511,35.1177852539,http://tong.visitkorea.or.kr/cms/resource/63/3330963_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce92,해운대 북극곰 축제,부산광역시 해운대구 동백로 90 (우동),6,16,20241206,20241208,912229,129.1510421777,35.1540525212,http://tong.visitkorea.or.kr/cms/resource/27/3402127_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce95,부산 코믹월드,부산광역시 해운대구 APEC로 55,6,16,20240921,20240922,762182,129.1359569660,35.1690700054,http://tong.visitkorea.or.kr/cms/resource/70/2551770_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce98,제29회 부산국제영화제,부산광역시 해운대구 수영강변대로 120,6,16,20241002,20241011,623476,129.1270576924,35.1707946470,http://tong.visitkorea.or.kr/cms/resource/03/3376603_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce9b,해운대 모래축제,부산광역시 해운대구 해운대해변로 280 (중동),6,16,20240524,20240527,566822,129.1626049105,35.1595354549,http://tong.visitkorea.or.kr/cms/resource/89/3317089_image2_1.jpg,0
6761863dc9dbb8b7b0a9ce9e,부산자갈치축제,부산광역시 중구 자갈치해안로 52 (남포동4가),6,56,20241003,20241006,506562,129.0306042206,35.0966317239,http://tong.visitkorea.or.kr/cms/resource/91/3376291_image2_1.png,0
